image_id,n_valid_pixels,total_error_count,within_functional_count,within_functional_error_rate,crop_weed_functional_count,crop_weed_functional_error_rate,vegetation_soil_count,vegetation_soil_error_rate,crop_soil_count,crop_soil_error_rate,weedfunctional_soil_count,weedfunctional_soil_error_rate,cross_functional_count,cross_functional_error_rate,crop_fp_total,crop_fn_total,crop_fp_from_soil,crop_fp_from_weed,crop_fp_from_dicot,crop_fp_from_grass,crop_fn_to_soil,crop_fn_to_weed,crop_fn_to_dicot,crop_fn_to_grass
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame209,1251936,12257,329,0.0002627929862229379,168,0.00013419216317767042,11760,0.00939345142243693,5169,0.004128805306341538,6591,0.0052646461160953915,11928,0.0095276435856146,4211,1126,4043,0,168,0,1126,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame210,1251936,32017,1270,0.0010144288525931037,9956,0.007952483194029088,20791,0.016607078956112773,5903,0.004715097257367789,14888,0.011891981698744983,30747,0.02455956215014186,13906,1953,4513,0,1765,7628,1390,0,0,563
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame214,1251936,9765,1907,0.0015232408046417709,105,8.387010198604402e-05,7753,0.006192808578074279,1262,0.0010080387495846432,6491,0.005184769828489635,7858,0.006276678680060322,837,530,732,0,105,0,530,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame215,1251936,10636,2701,0.002157458528231475,0,0.0,7935,0.0063381834215167545,3075,0.0024561958438770034,4860,0.0038819875776397515,7935,0.0063381834215167545,1424,1651,1424,0,0,0,1651,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame220,1251936,9171,172,0.00013738721468190067,543,0.0004337282416992562,8456,0.006754338879942745,3159,0.0025232919254658385,5297,0.004231046954476906,8999,0.0071880671216420005,2750,952,2207,0,543,0,952,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame223,1251936,12338,548,0.000437722056079544,825,0.0006589793727474887,10965,0.008758434935971168,9894,0.007902959895713518,1071,0.000855475040257649,11790,0.009417414308718657,7679,3040,6854,0,825,0,3040,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame232,1251936,14762,3370,0.002691830892313984,0,0.0,11392,0.009099506684047748,8249,0.0065889949645988296,3143,0.0025105117194489175,11392,0.009099506684047748,4234,4015,4234,0,0,0,4015,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame234,1251936,21023,1363,0.0010887138000664571,14,1.1182680264805868e-05,19646,0.015692495463026864,8713,0.0069596209390895385,10933,0.008732874523937326,19660,0.01570367814329167,5746,2981,5732,0,14,0,2981,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame239,1251936,11416,778,0.0006214375175727833,5755,0.00459688035171127,4883,0.0039003591237890753,2498,0.00199530966439179,2385,0.0019050494593972854,10638,0.008497239475500346,7284,969,1529,0,5755,0,969,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame242,1251936,8666,1913,0.0015280333818981163,112,8.946144211844694e-05,6641,0.00530458425989827,3055,0.002440220586355852,3586,0.0028643636735424176,6753,0.0053940457020167165,1762,1405,1650,0,112,0,1405,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame246,1251936,14134,633,0.0005056169005444367,1208,0.000964905554277535,12293,0.00981919203537561,9079,0.007251968151726606,3214,0.002567223883649004,13501,0.010784097589653145,7319,2968,6111,0,0,1208,2968,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame253,1251936,10481,921,0.0007356606088490147,460,0.00036743092298647856,9100,0.007268742172123814,5443,0.00434766633438131,3657,0.0029210758377425042,9560,0.007636173095110293,3658,2245,3198,0,460,0,2245,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame256,1251936,15955,545,0.0004353257674513713,0,0.0,15410,0.012308935920047032,8190,0.006541867954911434,7220,0.005767067965135598,15410,0.012308935920047032,5693,2497,5693,0,0,0,2497,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame257,1251936,10087,569,0.0004544960764767528,0,0.0,9518,0.007602625054315876,5814,0.004644007361398666,3704,0.00295861769291721,9518,0.007602625054315876,3545,2269,3545,0,0,0,2269,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame258,1251936,12431,2073,0.0016558354420673261,246,0.00019649566751016027,10112,0.008077090202694067,6679,0.005334937249188457,3433,0.0027421529535056107,10358,0.008273585870204228,5414,1511,5168,0,246,0,1511,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame261,1251936,13705,2068,0.0016518416276870382,6,4.792577256345372e-06,11631,0.009290411011425505,8945,0.0071449339263348925,2686,0.002145477085090612,11637,0.00929520358868185,6663,2288,6657,0,6,0,2288,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame269,1251936,11454,2244,0.0017924238938731693,0,0.0,9210,0.0073566060884901465,5705,0.0045569422079083915,3505,0.002799663880581755,9210,0.0073566060884901465,2948,2757,2948,0,0,0,2757,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame276,1251936,10667,1155,0.0009225711218464841,0,0.0,9512,0.0075978324770595304,6947,0.0055490056999718835,2565,0.0020488267770876465,9512,0.0075978324770595304,4357,2590,4357,0,0,0,2590,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame283,1251936,51796,13094,0.010459001099097717,2108,0.0016837921427293409,36594,0.029229928686450427,8203,0.006552251872300181,28391,0.022677676814150245,38702,0.030913720829179765,8011,2300,5903,0,1264,844,2300,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame288,1251936,8705,457,0.0003650346343583059,0,0.0,8248,0.0065881962017227715,5706,0.004557740970784449,2542,0.0020304552309383227,8248,0.0065881962017227715,3758,1948,3758,0,0,0,1948,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame301,1251936,29060,2024,0.0016166960611405056,353,0.00028196329524831943,26683,0.02131338982184393,3790,0.0030273113002581603,22893,0.01828607852158577,27036,0.021595353117092247,2612,1531,2259,0,0,353,1531,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame304,1251936,5884,484,0.00038660123201186,1350,0.0010783298826777088,4050,0.0032349896480331265,3269,0.0026111558418321704,781,0.000623833806200956,5400,0.004313319530710835,1653,2966,1653,0,0,0,1616,1350,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame1,1251936,26015,184,0.00014697236919459142,0,0.0,25831,0.020632843851442886,4807,0.0038396531452087007,21024,0.016793190706234185,25831,0.020632843851442886,2603,2204,2603,0,0,0,2204,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame17,1251936,15244,1589,0.001269234210055466,5919,0.00472787746338471,7736,0.0061792296091813,3426,0.0027365616133732075,4310,0.0034426679958080926,13655,0.01090710707256601,8530,815,2611,0,0,5919,815,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame21,1251936,12964,0,0.0,6959,0.005558590854484575,6005,0.00479657107072566,5874,0.00469193313396212,131,0.00010463793676354063,12964,0.010355161925210235,946,11887,946,0,0,0,4928,6639,0,320
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame27,1251936,6872,1056,0.0008434935971167856,61,4.872453543951129e-05,5755,0.00459688035171127,3286,0.002624734810725149,2469,0.0019721455409861207,5816,0.004645604887150781,1622,1725,1561,0,0,61,1725,0,0,0
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame28,1251936,5687,0,0.0,356,0.0002843595838764921,5331,0.004258204892262863,3617,0.002889125322700202,1714,0.0013690795695626614,5687,0.004542564476139355,896,3077,896,0,0,0,2721,356,0,0
